stock,sector
ROSSELLIND,
ROSSTECH,
ROTO,
ROUTE,
RPEL,
RPGLIFE,
RPOWER,
RPPINFRA,
RPPL,
RPSGVENT,
RPTECH,
RRKABEL,
RSSOFTWARE,
RSWM,
RSYSTEMS,
RTNINDIA,
RTNPOWER,
RUBFILA,
RUBICON,
RUBYMILLS,
RUCHINFRA,
RUCHIRA,
RUDRA,
RUPA,
RUSHIL,
RUSTOMJEE,
RVHL,
RVNL,
RVTH,
S&SPOWER,
SAATVIKGL,
SABEVENTS,
SADBHAV,
SADBHIN,
SADHNANIQ,
SAFARI,
SAGARDEEP,
SAGCEM,
SAGILITY,
SAHYADRI,
SAIL,Metals
SAILIFE,
SAKAR,
SAKHTISUG,
SAKSOFT,
SAKUMA,
SALASAR,
SALONA,
SALSTEEL,
SALZERELEC,
SAMBHAAV,
SAMBHV,
SAMHI,
SAMMAANCAP,
SAMPANN,
SANATHAN,
SANCO,
SANDESH,
SANDHAR,
SANDUMA,
SANGAMIND,
SANGHIIND,
SANGHVIMOV,
SANGINITA,
SANOFI,
SANOFICONR,
SANSERA,
SANSTAR,
SANWARIA,
SAPPHIRE,
SARDAEN,
SAREGAMA,
SARLAPOLY,
SARVESHWAR,
SASKEN,
SASTASUNDR,
SATIA,
SATIN,
SAURASHCEM,
SBC,
SBCL,
SBFC,
SBGLP,
SBICARD,
SBILIFE,Financial_Services
SBIN,Financial_Services
SCHAEFFLER,
SCHAND,
SCHNEIDER,
SCI,
SCILAL,
SCODATUBES,
SCPL,
SDBL,
SEAMECLTD,
SECMARK,
SECURKLOUD,
SEJALLTD,
SELMC,
SEMAC,
SENCO,
SENORES,
SEPC,
SERVOTECH,
SESHAPAPER,
SETCO,
SETL,
SETUINFRA,
SEYAIND,
SFL,
SGFIN,
SGIL,
SGL,
SGMART,
SHADOWFAX,
SHAH,
SHAHALLOYS,
SHAILY,
SHAKTIPUMP,
SHALBY,
SHALPAINTS,
SHANKARA,
SHANTI,
SHANTIGEAR,
SHANTIGOLD,
SHARDACROP,
SHARDAMOTR,
SHAREINDIA,
SHEKHAWATI,
SHEMAROO,
SHILCTECH,
SHILPAMED,
SHIVALIK,
SHIVAMAUTO,
SHIVAMILLS,
SHIVATEX,
SHIVAUM,
SHK,
SHOPERSTOP,
SHRADHA,
SHREDIGCEM,
SHREECEM,Cement
SHREEJISPG,
SHREEPUSHK,
SHREERAMA,
SHRENIK,
SHREYANIND,
SHRINGARMS,
SHRIPISTON,
SHRIRAMFIN,
SHRIRAMPPS,
SHYAMCENT,
SHYAMMETL,
SHYAMTEL,
SICALLOG,
SIEMENS,Capital_Goods
SIGACHI,
SIGIND,
SIGMA,
SIGMAADV,
SIGNATURE,
SIGNPOST,
SIKKO,
SIL,
SILGO,
SILINV,
SILLYMONKS,
SILVERTUC,
SIMBHALS,
SIMPLEXINF,
SINCLAIR,
SINDHUTRAD,
SINTERCOM,
SIRCA,
SIS,
SITINET,
SIYSIL,
SJS,
SJVN,
SKFINDIA,
SKFINDUS,
SKIPPER,
SKMEGGPROD,
SKYGOLD,
SMARTLINK,
SMARTWORKS,
SMCGLOBAL,
SMLMAH,
SMLT,
SMSPHARMA,
SNOWMAN,
SOBHA,
SOFTTECH,
SOLARA,
SOLARINDS,
SOLARWORLD,
SOLEX,
SOMANYCERA,
SOMATEX,
SOMICONVEY,
SONACOMS,
SONAMLTD,
SONATSOFTW,
SOTL,
SOUTHBANK,
SOUTHWEST,
SPAL,
SPANDANA,
SPARC,
SPCENET,
SPECIALITY,
SPECTRUM,
SPENCERS,
SPIC,
SPLIL,
SPLPETRO,
SPMLINFRA,
SPORTKING,
SRD,
SREEL,
SRF,
SRGHFL,
SRHHYPOLTD,
SRM,
SRTL,
SSDL,
SSWL,
STALLION,
STANLEY,
STAR,
STARCEMENT,
STARHEALTH,
STARPAPER,
STARTECK,
STCINDIA,
STEELCAS,
STEELCITY,
STEELXIND,
STEL,
STERTOOLS,
STLNETWORK,
STLTECH,
STOVEKRAFT,
STUDDS,
STYL,
STYLAMIND,
STYLEBAAZA,
STYRENIX,
SUBEXLTD,
SUBROS,
SUDARCOLOR,
SUDARSCHEM,
SUDEEPPHRM,
SUKHJITS,
SULA,
SUMEETINDS,
SUMICHEM,
SUMIT,
SUMMITSEC,
SUNCLAY,
SUNDARAM,
SUNDARMFIN,
SUNDRMBRAK,
SUNDRMFAST,
SUNDROP,
SUNFLAG,
SUNPHARMA,Pharma
SUNTECK,
SUNTV,
SUPERHOUSE,
SUPERSPIN,
SUPRAJIT,
SUPREME,
SUPREMEENG,
SUPREMEIND,
SUPREMEINF,
SUPRIYA,
SURAJEST,
SURAJLTD,
SURAKSHA,
SURANASOL,
SURANAT&P,
SURYALAXMI,
SURYAROSNI,
SURYODAY,
SUTLEJTEX,
SUVEN,
SUVIDHAA,
SUYOG,
SUZLON,
SVLL,
SVPGLOB,
SWANCORP,
SWANDEF,
SWARAJENG,
SWELECTES,
SWIGGY,
SWSOLAR,
SYMPHONY,
SYNCOMF,
SYNGENE,
SYRMA,
SYSTMTXC,
TAINWALCHM,
TAJGVK,
TAKE,
TALBROAUTO,
TANLA,
TARACHAND,
TARAPUR,
TARC,
TARIL,
TARMAT,
TARSONS,
TASTYBITE,
TATACAP,
TATACHEM,
TATACOMM,
TATACONSUM,FMCG
TATAELXSI,
TATAINVEST,
TATAPOWER,Power
TATASTEEL,Metals
TATATECH,
TATVA,
TBOTEK,
TBZ,
TCC,
TCI,
TCIEXP,
TCIFINANCE,
TCPLPACK,
TCS,IT
TDPOWERSYS,
TEAMGTY,
TEAMLEASE,
TECHM,IT
TECHNOE,
TECILCHEM,
TEGA,
TEJASNET,
TEMBO,
TENNIND,
TERASOFT,
TEXINFRA,
TEXMOPIPES,
TEXRAIL,
TFCILTD,
TFL,
TGBHOTELS,
THANGAMAYL,
THEINVEST,
THEJO,
THELEELA,
THEMISMED,
THERMAX,
THOMASCOOK,
THOMASCOTT,
THYROCARE,
TI,
TICL,
TIGERLOGS,
TIIL,
TIINDIA,
TIJARIA,
TIL,
TIMETECHNO,
TIMKEN,
TINNARUBR,
TIPSFILMS,
TIPSMUSIC,
TIRUMALCHM,
TIRUPATIFL,
TITAGARH,
TITAN,Consumer_Durables
TMB,
TMCV,
TMPV,
TNPETRO,
TNPL,
TNTELE,
TOKYOPLAST,
TOLINS,
TORNTPHARM,Pharma
TORNTPOWER,
TOTAL,
TOUCHWOOD,
TPHQ,
TPLPLASTEH,
TRACXN,
TRANSRAILL,
TRANSWORLD,
TRAVELFOOD,
TREEHOUSE,
TREJHARA,
TREL,
TRENT,Retail
TRF,
TRIDENT,
TRIGYN,
TRITURBINE,
TRIVENI,
TRU,
TRUALT,
TSFINV,
TTKHLTCARE,
TTKPRESTIG,
TTL,
TTML,
TVSELECT,
TVSHLTD,
TVSMOTOR,Automobile
TVSSCS,
TVSSRICHAK,
TVTODAY,
TVVISION,
UBL,
UCAL,
UCOBANK,
UDS,
UEL,
UFBL,
UFLEX,
UFO,
UGARSUGAR,
UGROCAP,
UJJIVANSFB,
ULTRACEMCO,Cement
UMAEXPORTS,
UMESLTD,
UMIYA-MRO,
UNICHEMLAB,
UNIDT,
UNIECOM,
UNIENTER,
UNIINFO,
UNIMECH,
UNIONBANK,
UNIPARTS,
UNITDSPR,
UNITECH,
UNITEDPOLY,
UNITEDTEA,
UNIVASTU,
UNIVCABLES,
UNIVPHOTO,
UNOMINDA,
UPL,Others
URAVIDEF,
URBANCO,
URJA,
USHAMART,
USK,
UTIAMC,
UTKARSHBNK,
UTLSOLAR,
UTTAMSUGAR,
UYFINCORP,
V2RETAIL,
VADILALIND,
VAIBHAVGBL,
VAISHALI,
VAKRANGEE,
VALIANTLAB,
VALIANTORG,
VARDHACRLC,
VARDMNPOLY,
VARROC,
VASCONEQ,
VASWANI,
VBL,
VCL,
VEDL,Metals
VEEDOL,
VENKEYS,
VENTIVE,
VENUSPIPES,
VENUSREM,
VERANDA,
VERTOZ,
VESUVIUS,
VETO,
VGL,
VGUARD,
VHL,
VHLTD,
VIDHIING,
VIDYAWIRES,
VIJAYA,
VIJIFIN,
VIKASECO,
VIKASLIFE,
VIKRAMSOLR,
VIKRAN,
VIMTALABS,
VINATIORGA,
VINCOFE,
VINDHYATEL,
VINEETLAB,
VINNY,
VINYLINDIA,
VIPCLOTHNG,
VIPIND,
VIPULLTD,
VIRINCHI,
VISAKAIND,
VISASTEEL,
VISHNU,
VISHWARAJ,
VITAL,
VIVIDHA,
VIVIMEDLAB,
VIYASH,
VLEGOV,
VLSFINANCE,
VMART,
VMM,
VMSTMT,
VOLTAMP,
VOLTAS,Consumer_Durables
VPRPL,
VRAJ,
VRLLOG,
VSSL,
VSTIND,
VSTL,
VSTTILLERS,
VTL,
WAAREEENER,
WAAREEINDO,
WAAREERTL,
WABAG,
WAKEFIT,
WALCHANNAG,
WANBURY,
WCIL,
WEALTH,
WEBELSOLAR,
WEIZMANIND,
WEL,
WELCORP,
WELENT,
WELINV,
WELSPUNLIV,
WENDT,
WESTLIFE,Retail
WEWIN,
WEWORK,
WHEELS,
WHIRLPOOL,Consumer_Durables
WILLAMAGOR,
WINDLAS,
WINDMACHIN,
WINSOME,
WIPL,
WIPRO,IT
WOCKPHARMA,
WONDERLA,
WORTHPERI,
WSI,
WSTCSTPAPR,
XCHANGING,
XELPMOC,
XPROINDIA,
XTGLOBAL,
YASHO,
YATHARTH,
YATRA,
YESBANK,
YUKEN,
ZAGGLE,
ZEEL,
ZEELEARN,
ZEEMEDIA,
ZENITHEXPO,
ZENITHSTL,
ZENSARTECH,
ZENTEC,
ZFCVINDIA,
ZIMLAB,
ZODIAC,
ZODIACLOTH,
ZOTA,
ZUARI,
ZUARIIND,
ZYDUSLIFE,
ZYDUSWELL,
